Title,Year,Genres,Rating,NumVotes
The Bridge on the River Kwai,1957,"Adventure,Drama,War",8.1,204570
A Face in the Crowd,1957,"Drama,Music",8.2,14073
Funny Face,1957,"Comedy,Musical,Romance",7.0,27379
Gunfight at the O.K. Corral,1957,"Biography,Drama,Western",7.2,14159
The Incredible Shrinking Man,1957,"Horror,Sci-Fi",7.6,16100
Throne of Blood,1957,"Drama,History",8.1,47081
The Cranes Are Flying,1957,"Drama,Romance,War",8.3,15225
Love in the Afternoon,1957,"Comedy,Crime,Drama",7.2,14087
Mon Oncle,1958,Comedy,7.8,18975
Curse of the Demon,1957,"Fantasy,Horror,Mystery",7.5,12151
Nights of Cabiria,1957,Drama,8.1,43185
Old Yeller,1957,"Adventure,Drama,Family",7.3,11982
Paths of Glory,1957,"Drama,War",8.4,179583
The Seventh Seal,1957,"Drama,Fantasy,History",8.2,166415
Wild Strawberries,1957,"Drama,Romance",8.2,97299
Sweet Smell of Success,1957,"Drama,Film-Noir",8.0,28413
Witness for the Prosecution,1957,"Crime,Drama,Mystery",8.4,109894
The Wrong Man,1956,"Drama,Film-Noir",7.4,25886
The 7th Voyage of Sinbad,1958,"Action,Adventure,Family",7.1,12120
Elevator to the Gallows,1958,"Crime,Drama,Thriller",8.0,22378
Auntie Mame,1958,"Comedy,Drama,Romance",7.9,10424
The Big Country,1958,"Romance,Western",7.9,15927
The Blob,1958,"Horror,Sci-Fi",6.4,23582
Cat on a Hot Tin Roof,1958,Drama,8.0,45390
The Defiant Ones,1958,"Crime,Drama",7.6,13701
Horror of Dracula,1958,"Drama,Horror",7.3,21178
The Fly,1958,"Drama,Horror,Sci-Fi",7.1,20920
Gigi,1958,"Comedy,Musical,Romance",6.7,19714
House on Haunted Hill,1959,"Crime,Horror,Mystery",6.9,23671
The Hidden Fortress,1958,"Adventure,Drama",8.1,35146
A Night to Remember,1958,"Biography,Drama,History",7.9,13764
Plan 9 from Outer Space,1957,"Horror,Sci-Fi",4.0,36202
Ashes and Diamonds,1958,"Drama,Romance,War",7.8,10713
Run Silent Run Deep,1958,"Action,Drama,War",7.3,10278
Touch of Evil,1958,"Crime,Drama,Film-Noir",8.0,98760
Vertigo,1958,"Mystery,Romance,Thriller",8.3,366804
The Vikings,1958,"Action,Adventure,History",7.1,13059
Anatomy of a Murder,1959,"Crime,Drama,Mystery",8.0,60146
The World of Apu,1959,Drama,8.5,12209
Ben-Hur,1959,"Adventure,Drama,History",8.1,220530
The Diary of Anne Frank,1959,"Biography,Drama,Family",7.4,11999
Hiroshima Mon Amour,1959,"Drama,Romance",7.9,28678
Imitation of Life,1959,Drama,7.9,14839
Journey to the Center of the Earth,1959,"Adventure,Family,Fantasy",7.0,15878
North by Northwest,1959,"Adventure,Mystery,Thriller",8.3,300829
On the Beach,1959,"Drama,Romance,Sci-Fi",7.2,12021
Operation Petticoat,1959,"Comedy,Romance,War",7.3,12932
Black Orpheus,1959,"Drama,Fantasy,Music",7.5,10105
Pickpocket,1959,"Crime,Drama",7.7,19881
Pillow Talk,1959,"Comedy,Romance",7.4,15715
The 400 Blows,1959,"Crime,Drama",8.1,106205
Rio Bravo,1959,"Action,Drama,Western",8.0,56606
Shadows,1958,"Drama,Romance",7.3,10491
Sleeping Beauty,1959,"Animation,Family,Fantasy",7.2,136117
Some Like It Hot,1959,"Comedy,Music,Romance",8.2,245401
"Suddenly, Last Summer",1959,"Drama,Mystery,Thriller",7.6,13894
Eyes Without a Face,1960,"Drama,Horror",7.7,27888
Breathless,1960,"Crime,Drama",7.8,73735
The Alamo,1960,"Adventure,Drama,History",6.9,14488
The Apartment,1960,"Comedy,Drama,Romance",8.3,165571
L'Avventura,1960,"Drama,Mystery",7.9,26781
La Dolce Vita,1960,"Comedy,Drama",8.0,67039
Elmer Gantry,1960,Drama,7.8,10489
House of Usher,1960,"Drama,Horror",7.0,12150
Inherit the Wind,1960,"Biography,Drama,History",8.1,27387
The Virgin Spring,1960,Drama,8.1,26863
The Little Shop of Horrors,1960,"Comedy,Horror",6.3,16478
The Magnificent Seven,1960,"Action,Adventure,Western",7.7,88068
Black Sunday,1960,Horror,7.2,13834
La Notte,1961,Drama,8.1,18487
Ocean's 11,1960,"Comedy,Crime,Music",6.6,20114
Peeping Tom,1960,"Drama,Horror,Thriller",7.7,31581
Purple Noon,1960,"Crime,Drama,Thriller",7.8,14370
Psycho,1960,"Horror,Mystery,Thriller",8.5,608173
Rocco and His Brothers,1960,"Crime,Drama,Sport",8.3,16916
Spartacus,1960,"Adventure,Biography,Drama",7.9,124897
Swiss Family Robinson,1960,"Adventure,Family",7.2,14380
The Time Machine,1960,"Adventure,Romance,Sci-Fi",7.6,36350
Shoot the Piano Player,1960,"Crime,Drama,Thriller",7.5,17708
Le Trou,1960,"Crime,Drama,Thriller",8.5,15575
Village of the Damned,1960,"Horror,Sci-Fi",7.3,15438
The Bad Sleep Well,1960,"Crime,Drama,Thriller",8.0,11123
Last Year at Marienbad,1961,"Drama,Mystery",7.8,20539
Breakfast at Tiffany's,1961,"Comedy,Drama,Romance",7.6,167475
The Children's Hour,1961,"Drama,Romance",7.8,14671
El Cid,1961,"Biography,Drama,History",7.3,13003
The Guns of Navarone,1961,"Action,Adventure,Drama",7.5,45759
The Hustler,1961,"Drama,Sport",8.0,75319
The Innocents,1961,Horror,7.8,27196
Judgment at Nuremberg,1961,"Drama,War",8.2,69984
Jules and Jim,1962,"Drama,Romance",7.8,37933
The Misfits,1961,"Drama,Romance,Western",7.3,17391
One Hundred and One Dalmatians,1961,"Adventure,Animation,Comedy",7.3,153852
"One, Two, Three",1961,Comedy,7.9,19614
One-Eyed Jacks,1961,"Drama,Western",7.1,10191
The Parent Trap,1961,"Comedy,Family,Romance",7.1,19128
Pit and the Pendulum,1961,"Drama,Horror,Mystery",7.1,12860
Splendor in the Grass,1961,"Drama,Romance",7.8,17918
Through a Glass Darkly,1961,Drama,8.0,23081
A Woman Is a Woman,1961,"Comedy,Drama,Romance",7.5,15652
Viridiana,1961,Drama,8.1,22474
West Side Story,1961,"Crime,Drama,Musical",7.5,97647
Yojimbo,1961,"Action,Drama,Thriller",8.2,112159
Birdman of Alcatraz,1962,"Biography,Crime,Drama",7.8,16222
Cape Fear,1962,"Drama,Thriller",7.7,26591
Carnival of Souls,1962,"Horror,Mystery",7.1,21284
Cleo from 5 to 7,1962,"Comedy,Drama,Music",7.9,17552
Days of Wine and Roses,1962,Drama,7.9,11512
Divorce Italian Style,1961,"Comedy,Drama,Romance",8.1,11613
Dr. No,1962,"Action,Adventure,Thriller",7.2,151012
Hara-Kiri,1962,"Action,Drama,Mystery",8.6,43043
Hatari!,1962,"Action,Adventure,Comedy",7.2,11796
How the West Was Won,1962,Western,7.1,18803
Ivan's Childhood,1962,"Drama,War",8.1,32101
Lawrence of Arabia,1962,"Adventure,Biography,Drama",8.3,269653
Lolita,1962,"Crime,Drama,Romance",7.6,93407
The Longest Day,1962,"Action,Drama,History",7.8,52302
The Man Who Shot Liberty Valance,1962,"Drama,Western",8.1,69259
The Manchurian Candidate,1962,"Drama,Thriller",7.9,71400
The Miracle Worker,1962,"Biography,Drama",8.1,16067
